Name,Slug,Submissions,Accuracy,QuestionURL,Platform,Tags,LanguagesAllowed,DateAdded
Bear and Medals,bear-and-medals,...,,https://www.hackerearth.com/problem/algorithm/bear-and-medals/,Hackerearth,                    ,,
Bear and Crying,bear-and-crying,...,,https://www.hackerearth.com/problem/algorithm/bear-and-crying/,Hackerearth,                    ,,
Monk and Otakuland,monk-and-otakuland-1,...,,https://www.hackerearth.com/problem/algorithm/monk-and-otakuland-1/,Hackerearth,"                    Greedy, Graph Theory, Segment Trees, Medium",,
Modified LIS,modified-lis-1,...,,https://www.hackerearth.com/problem/algorithm/modified-lis-1/,Hackerearth,"                    Segment Trees, Medium, Dynamic Programming",,
Spartans : Leonidas Vs Xe...,spartans-leonidas-vs-xerxes-monk,...,,https://www.hackerearth.com/problem/algorithm/spartans-leonidas-vs-xerxes-monk/,Hackerearth,"                    Segment Trees, Medium",,
2 vs 3.,2-vs-3,...,,https://www.hackerearth.com/problem/algorithm/2-vs-3/,Hackerearth,"                    Segment Trees, Math, Modular arithmetic, Easy-Medium",,
Count leaderboards ,count-leaderboards-monk,...,,https://www.hackerearth.com/problem/algorithm/count-leaderboards-monk/,Hackerearth,                    ,,
Three Sum ,three-sum-monk,...,,https://www.hackerearth.com/problem/algorithm/three-sum-monk/,Hackerearth,                    ,,
Give me my test!,give-me-my-test-monk,...,,https://www.hackerearth.com/problem/algorithm/give-me-my-test-monk/,Hackerearth,                    ,,
Barcode ,barcode-monk-1,...,,https://www.hackerearth.com/problem/algorithm/barcode-monk-1/,Hackerearth,                    ,,
Xenny and Random Cubes ,xenny-and-random-cubes-monk,...,,https://www.hackerearth.com/problem/algorithm/xenny-and-random-cubes-monk/,Hackerearth,                    ,,
Gadget Gain,gadget-gain,...,,https://www.hackerearth.com/problem/approximate/gadget-gain/,Hackerearth,                    ,,
Fleet Funding,fleet-funding,...,,https://www.hackerearth.com/problem/algorithm/fleet-funding/,Hackerearth,                    ,,
Education Enumeration,education-enumeration,...,,https://www.hackerearth.com/problem/algorithm/education-enumeration/,Hackerearth,                    ,,
Dangerous Dungeon,dangerous-dungeon,...,,https://www.hackerearth.com/problem/algorithm/dangerous-dungeon/,Hackerearth,                    ,,
